method,displacement
log1pPF,0.007329395709873328
log1pPF,0.007326003696406232
log1pPF,0.003821929154689028
log1pPF,0.00579095361285727
log1pPF,0.008263706389904113
log1pPF,0.013214438289832575
log1pPF,0.006830481230634663
log1pPF,0.003851874345609687
log1pPF,0.003477609434718904
log1pPF,0.003423220480087738
log1pPF,0.003267196388781457
log1pPF,0.017571399789149882
log1pPF,0.002831094712226026
log1pPF,0.012254083185572617
log1pPF,0.008068466290896147
log1pPF,0.004438209470976583
log1pPF,0.004695369593422765
log1pPF,0.004822734792404788
log1pPF,0.014039183297528464
log1pPF,0.0034927536501348022
log1pPF,0.005400272155215133
log1pPF,0.0040949823139137
log1pPF,0.005763719964848082
log1pPF,0.005239478555062104
log1pPF,0.00833665747764951
log1pPF,0.0024840071718347074
log1pPF,0.01333119592964536
log1pPF,0.003444284057588427
log1pPF,0.004846515761349796
log1pPF,0.007834563439943485
log1pPF,0.008120785183982284
log1pPF,0.006887053727759886
log1pPF,0.008753509203914779
log1pPF,0.0016655124366794667
log1pPF,0.004624878963767324
log1pPF,0.0041853999339830725
log1pPF,0.0030813066221198173
log1pPF,0.004250544621062507
log1pPF,0.004601469402733716
log1pPF,0.0065060138164711396
log1pPF,0.0045438155524273474
log1pPF,0.010321549447111625
log1pPF,0.005894844577377775
log1pPF,0.0043538359428261925
log1pPF,0.013049258996429678
log1pPF,0.009534052086864472
log1pPF,0.003935822342966954
log1pPF,0.005582219025175719
log1pPF,0.006414789419682817
log1pPF,0.012035794597157085
log1pPF,0.005703677529747056
log1pPF,0.01077498706249067
log1pPF,0.00524283707374482
log1pPF,0.006430130004955128
log1pPF,0.010831854571382558
log1pPF,0.003358986633001022
log1pPF,0.005024735349616046
log1pPF,0.021676554016788488
log1pPF,0.0062749085989674755
log1pPF,0.005850634440535534
log1pPF,0.0030831020910067684
log1pPF,0.0047867430370734185
log1pPF,0.008844076071050101
log1pPF,0.005549525353759149
log1pPF,0.0037374947752125617
log1pPF,0.005619447610337098
log1pPF,0.007212301949024688
log1pPF,0.005925997322081065
